timestamp,window_id,seq_ratio,avg_irr,unique_ratio,irr_0_1k,irr_1k_10k,irr_10k_plus
1774424632.694566122,98,23,66600,5192,4838,2338,2822
1774424632.779803181,2,33,9825,6153,3064,2903,4032
1774424632.812454955,99,19,67482,5256,4516,2822,2661
1774424633.021992212,100,27,99261,5641,3816,2442,3740
1774424633.069880648,34,51,59767,5705,3688,2950,3360
1774424633.141723745,66,22,54148,4871,4191,2647,3161
1774424633.275632310,39,29,92914,5641,3821,2845,3333
1774424633.333066492,3,46,10533,5320,3809,2936,3253
1774424633.441454026,35,46,62875,5641,3739,2926,3333
1774424633.486165590,101,30,92240,6410,2892,2892,4214
1774424633.584919931,67,31,92645,6602,2416,3000,4583
1774424633.692390238,68,43,57160,5769,3658,2764,3577
1774424633.777814744,69,23,65903,6346,3185,2831,3982
1774424633.870131304,70,49,46256,5448,4521,2956,2521
1774424633.906516432,102,49,77239,6025,3728,2966,3305
1774424634.008488146,71,47,60017,5705,3937,2677,3385
1774424634.082686425,72,32,71389,5961,3495,2764,3739
1774424634.154141475,73,19,64389,5833,3360,3200,3440
1774424634.261193220,74,32,60715,5256,4274,2822,2903
1774424634.325996069,75,31,51250,5384,3779,2992,3228
1774424634.351381047,103,45,66510,5512,3524,3606,2868
1774424634.449212294,104,42,68862,5833,3474,3728,2796
1774424634.570303240,76,51,61559,6217,2622,3442,3934
1774424634.668769152,77,32,131469,6346,3600,2000,4400
1774424634.742083269,105,39,77477,5576,4160,2560,3280
1774424634.816853841,106,23,64995,6089,3228,2519,4251
1774424634.853226533,3,58,12939,5961,3384,2615,4000
1774424634.898417706,36,37,70639,6666,3000,2666,4333
1774424635.069912529,107,40,67267,5512,3688,2950,3360
1774424635.140574314,108,44,75153,5705,3622,3307,3070
1774424635.186743324,78,36,58325,5833,3524,3114,3360
1774424635.256935002,109,32,163268,6730,2500,3214,4285
1774424635.294145475,37,46,48916,5576,3709,2983,3306
1774424635.373392103,38,43,49285,5512,3593,3125,3281
1774424635.559026129,110,50,103373,5576,3281,3359,3359
1774424635.629137632,79,18,69752,5833,2713,3565,3720
1774424635.689554793,111,40,95328,6089,3333,2820,3846
1774424635.765433094,112,46,100765,5192,4045,2977,2977
1774424635.854692488,113,44,67659,5897,3305,3474,3220
1774424635.920049341,80,35,66632,5897,3629,2741,3629
1774424636.020445581,81,37,79316,5897,3719,2644,3636
1774424636.049010996,114,46,109217,5833,3385,2755,3858
1774424636.125573150,115,47,98476,5448,3902,3008,3089
1774424636.196457477,116,42,113672,5576,3308,2631,4060
1774424636.270160527,117,68,80369,5192,4500,3000,2500
1774424636.384703641,82,35,54076,5384,4080,2800,3120
1774424636.453816866,83,57,77869,5641,4065,2682,3252
1774424636.524854800,84,44,41806,5576,3760,3504,2735
1774424636.592435207,85,36,79508,5705,3760,2560,3680
1774424636.612672697,40,41,94038,5833,3196,3196,3606
1774424636.776016559,86,61,90809,5641,3770,2868,3360
1774424636.801370263,118,50,86072,5448,3893,2442,3664
1774424636.853341869,87,66,69063,5961,3467,2822,3709
1774424636.918446657,88,32,64535,5256,3779,3307,2913
1774424637.025361801,4,52,12978,5833,3697,2941,3361
1774424637.058513761,41,53,67987,5705,3500,3166,3333
1774424637.171593692,89,49,82060,5833,3174,3333,3492
1774424637.241816169,90,67,79235,6025,3534,3103,3362
1774424637.308403619,91,39,57002,5448,4094,2440,3464
1774424637.370593895,92,64,79865,5833,4032,2338,3629
1774424637.501014861,93,66,81722,5448,3852,3278,2868
1774424637.573404485,94,45,111374,5576,3622,2755,3622
1774424637.639869033,95,53,98600,5769,3174,3174,3650
1774424637.804660041,4,53,12043,5128,4318,2727,2954
1774424637.825037839,39,35,50803,5512,3709,3145,3145
1774424637.882937653,96,60,83554,6282,3149,2755,4094
1774424637.970563863,97,48,79607,5769,3846,3076,3076
1774424638.038390192,98,63,86968,5576,3333,2945,3720
1774424638.099845468,99,40,85226,5512,3582,3059,3358
1774424638.174440990,119,69,82795,5256,4015,2651,3333
1774424638.280242014,40,70,52419,5576,3650,3174,3174
1774424638.316391208,100,48,91087,6538,2966,3135,3898
1774424638.383317652,5,35,17174,6474,3103,3017,3879
1774424638.430391389,42,47,89352,5897,3333,2926,3739
1774424638.491289795,41,40,54555,4807,4328,3059,2611
1774424638.554450306,42,65,70603,5961,3193,3445,3361
1774424638.606498161,101,69,92882,6025,3145,3306,3548
1774424638.641003629,120,52,117370,6346,3114,2950,3934
1774424638.742142700,121,55,60912,5064,4094,3228,2677
1774424638.804715841,122,38,98029,5000,4242,2727,3030
1774424638.938586363,102,66,89475,6025,3360,2720,3920
1774424639.003155076,103,71,80193,5705,4310,2327,3362
1774424639.062274904,104,67,116852,5897,3759,2330,3909
1774424639.102674616,123,65,149493,5897,2890,3359,3750
1774424639.180499646,43,68,61039,5705,3692,2538,3769
1774424639.274815272,105,32,66613,5512,3730,2777,3492
1774424639.352569283,106,57,115552,5705,2846,3384,3769
1774424639.396264461,124,66,143216,5512,3656,2611,3731
1774424639.536605226,125,55,94260,5256,3695,2608,3695
1774424639.596856190,107,53,91554,5961,3153,2615,4230
1774424639.669035482,108,66,134428,6025,2554,3138,4306
1774424639.714656572,126,71,103332,5576,3984,2500,3515
1774424639.816769803,109,50,90886,5128,3629,3111,3259
1774424639.882357864,110,81,90959,6089,2960,3120,3920
1774424639.935975224,111,75,120336,5641,3712,2424,3863
1774424639.998757212,112,56,102627,6025,3307,2913,3779
1774424640.088496556,113,95,92746,5576,4320,2560,3120
1774424640.147838269,127,52,174139,5897,3100,3100,3798
1774424640.178782121,114,88,87820,5192,3858,2992,3149
1774424640.246334962,115,59,81527,5576,3407,3111,3481
1774424640.302660546,44,33,56489,5576,3870,2903,3225
1774424640.367381634,43,65,76030,5576,4015,2598,3385
1774424640.451954684,116,64,89215,5512,3937,2913,3149
1774424640.542686593,45,74,63197,5320,3730,2777,3492
1774424640.657910082,128,73,131055,5384,3953,2945,3100
1774424640.740097270,129,55,165821,6282,2400,3440,4160
1774424640.807970686,130,70,115845,6089,2764,3739,3495
1774424640.872391542,131,69,58440,6153,3250,3333,3416
1774424640.930274442,132,82,115142,6794,2479,3388,4132
1774424641.015085234,46,105,58338,6025,3083,3416,3500
1774424641.094779421,133,71,56571,4743,4160,3760,2080
1774424641.175273627,134,54,114087,5064,4393,2500,3106
1774424641.278410491,44,52,56490,5448,4274,2903,2822
1774424641.304227894,117,1464,113324,7051,3203,2912,3883
1774424641.653881292,135,707,80360,5320,4705,2436,2857
1774424641.828786888,0,2421,2847,3910,3684,6315,0
1774424641.880501165,118,8049,1158357,10000,0,0,10000
1774424642.119350347,119,7407,1158997,10000,0,0,10000
1774424642.366803365,120,7407,1203562,10064,0,0,10000
1774424642.677758485,121,7426,1216960,10000,0,0,10000
1774424642.815242174,5,377,15033,5769,3790,2903,3306
1774424643.173271852,122,7429,1224928,10000,0,0,10000
1774424643.386760635,123,7439,1235328,10000,0,0,10000
1774424643.536315955,136,7435,612896,10064,0,0,10000
1774424643.622822995,124,7452,1058688,10064,0,0,10000
1774424643.702691255,6,2928,19008,7820,2564,3717,3717
1774424643.808782229,45,6540,179824,9935,625,2500,6875
1774424644.057473928,125,7432,1255552,10000,0,0,10000
1774424644.294039568,47,4654,93300,8846,3333,1960,4705
1774424644.413127872,137,7490,950048,10000,0,0,10000
1774424645.054265976,138,7491,0,10000,0,0,0
1774424645.076754601,126,7488,1020080,10000,0,0,10000
1774424645.349286547,127,7511,1275306,10000,0,0,10000
1774424645.557340214,139,7523,1396096,10000,0,0,10000
1774424645.742584834,128,7531,1157712,10064,0,0,10000
1774424645.960187961,129,7531,1289264,10000,0,0,10000
1774424646.112437560,140,7525,1029760,10064,0,0,10000
1774424646.337881110,7,7493,73824,10000,0,0,10000
1774424646.454569502,130,7546,1253824,10000,0,0,10000
1774424646.632464734,48,7491,487344,10064,0,0,10000
1774424646.987238355,141,7539,1360102,10000,0,0,10000
1774424647.121759921,46,7546,464170,10000,0,0,10000
1774424647.308777213,131,7587,1313280,10000,0,0,10000
1774424647.546673110,132,7615,1248678,10064,0,0,10000
1774424647.689743351,142,7597,1136576,10000,0,0,10000
1774424647.739504314,49,7559,0,10000,0,0,0
1774424647.891018969,133,7587,1334835,10000,0,0,10000
1774424648.288584861,134,7607,1343472,10000,0,0,10000
1774424648.479107032,135,7695,1016594,10000,0,0,10000
1774424648.774044488,136,7663,1099600,10064,0,0,10000
1774424648.980968578,137,7704,1191573,10000,0,0,10000
1774424649.090409922,143,7629,979861,10000,0,0,10000
1774424649.200236125,6,7558,58442,10000,0,0,10000
