tid,seq_ratio,avg_stride
6332,0.719,20.5
6332,0.734,17.4
6342,0.990,9.0
6332,0.722,18.8
6342,0.984,9.6
6342,0.995,8.0
6332,0.723,18.5
6342,0.978,10.1
6332,0.715,19.8
6332,0.734,28.0
6332,0.718,23.1
6342,0.981,8.7
6332,0.717,18.9
6342,0.982,8.4
6332,0.746,14.2
6332,0.715,29.0
6332,0.715,19.3
6342,0.982,9.3
6342,0.993,7.9
6342,0.992,7.7
6332,0.722,17.2
6342,0.982,8.5
6332,0.742,17.4
6332,0.727,17.6
6342,0.959,11.0
6332,0.731,15.8
6332,0.723,22.4
6342,0.990,8.6
6332,0.738,20.9
6332,0.718,20.1
6342,0.983,9.0
6342,0.991,7.8
6342,0.995,7.3
6332,0.735,22.8
6332,0.727,21.8
6342,0.983,11.8
6332,0.717,21.5
6332,0.721,19.5
6342,0.972,10.0
6332,0.727,20.9
6342,0.989,8.9
6332,0.735,27.3
6332,0.720,25.9
6332,0.739,20.4
6342,0.983,8.6
6342,0.994,7.6
6342,0.995,7.8
6332,0.726,19.3
6332,0.713,18.1
6332,0.731,19.3
6342,0.974,8.2
6332,0.723,17.3
6342,0.969,9.6
6332,0.725,23.4
6332,0.728,25.2
6342,0.986,8.2
6332,0.734,22.1
6342,0.985,10.2
6342,0.994,8.2
6332,0.739,25.2
6342,0.984,9.1
6332,0.738,20.0
6332,0.728,26.5
6332,0.723,17.6
6342,0.983,9.0
6332,0.739,24.7
6342,0.978,9.6
6332,0.733,20.7
6332,0.714,24.8
6342,0.983,8.7
6342,0.994,7.6
6342,0.993,7.8
6332,0.732,24.7
6332,0.728,23.4
6342,0.977,11.0
6332,0.716,16.0
6332,0.724,19.9
6342,0.963,8.8
6332,0.719,23.6
6342,0.984,8.4
6332,0.725,18.1
6332,0.730,20.6
6342,0.982,7.6
6342,0.988,6.6
6342,0.992,7.7
6342,0.993,8.0
6332,0.732,25.5
6342,0.983,5.9
6332,0.719,20.5
6332,0.721,18.6
6342,0.981,6.4
6332,0.718,25.6
6342,0.958,8.7
6342,0.979,6.8
6342,0.993,8.7
6332,0.727,16.3
6332,0.726,12.9
6342,0.974,12.3
6332,0.720,18.3
6342,0.988,8.8
6332,0.737,16.6
6332,0.717,30.0
6342,0.975,12.2
6332,0.723,19.2
6332,0.716,15.1
6342,0.985,7.9
6342,0.961,13.6
6332,0.737,11.0
6332,0.715,21.2
6342,0.976,14.5
6332,0.722,17.8
6332,0.709,24.3
6342,0.974,8.6
6332,0.724,20.5
6342,0.979,8.7
6342,0.986,7.7
6342,0.995,7.8
6332,0.713,27.9
6342,0.993,10.1
6332,0.742,15.6
6332,0.728,24.5
6342,0.967,9.2
6332,0.750,16.9
6342,0.988,8.1
6332,0.742,21.8
6332,0.728,18.9
6342,0.980,8.1
6342,0.995,7.7
6342,0.993,7.7
6332,0.718,17.0
6342,0.982,11.3
6332,0.739,19.9
6332,0.743,20.3
6342,0.971,8.4
6332,0.736,23.2
6332,0.725,26.4
6342,0.988,8.1
6332,0.734,16.4
6342,0.982,8.9
6342,0.990,7.8
6342,0.994,8.5
6332,0.731,19.8
6332,0.728,21.4
