tid,seq_ratio,avg_stride
13116,0.981,5.6
13116,0.993,6.8
13106,0.799,15.9
13116,0.975,6.0
13106,0.792,19.7
13116,0.971,4.9
13116,0.986,6300.2
13106,0.800,21.2
13116,0.977,6.2
13116,0.983,7.4
13106,0.772,12.9
13116,0.976,11.8
13116,0.982,5.8
13106,0.798,14.1
13116,0.975,6.6
13116,0.992,5.7
13106,0.793,12.3
13116,0.977,6.5
13116,0.987,6.7
13106,0.785,16.6
13116,0.977,1058.1
13106,0.791,19.9
13116,0.973,1578.4
13116,0.965,5.1
13106,0.791,15.9
13116,0.982,14683.7
13116,0.980,6.6
13106,0.788,16.5
13116,0.982,9.3
13106,0.808,14.8
13116,0.974,6.5
13116,0.982,5.7
13116,0.978,6.3
13106,0.787,21.8
13116,0.983,3678.2
13106,0.809,13.8
13116,0.989,6.4
13116,0.976,22024.1
13106,0.800,16.4
13116,0.981,7.0
13116,0.973,6.9
13106,0.778,18.7
13116,0.987,6.7
13116,0.973,6.9
13106,0.789,14.0
13116,0.967,5.7
13106,0.793,15.7
13116,0.980,6.4
13116,0.981,11016.9
13106,0.789,15.1
13116,0.984,7.5
13116,0.981,7.0
13106,0.784,14.3
13116,0.973,6.1
13116,0.977,5.8
13106,0.789,17.5
13116,0.980,6.9
13116,0.986,5.9
13106,0.792,12.8
13116,0.983,6.5
13116,0.983,8.1
13106,0.802,13.5
13116,0.987,7.3
13116,0.980,8395.0
13106,0.798,18.0
13116,0.988,7.3
13116,0.989,6.9
13106,0.796,23.7
13116,0.980,7.3
13116,0.985,5.6
13106,0.791,17.5
13116,0.979,5.1
13116,0.984,7.6
13106,0.787,16.8
13116,0.975,5.8
13106,0.810,17.2
13116,0.981,7.2
13116,0.983,6.3
13106,0.795,15.8
13116,0.981,7.5
13116,0.981,10.6
13106,0.782,18.3
13116,0.977,5.3
13116,0.982,6.0
13106,0.810,12.1
13116,0.970,5.4
13106,0.811,14.2
13116,0.980,6.1
13106,0.786,23.3
13116,0.987,7.5
13116,0.976,5.5
13116,0.985,8.0
13106,0.797,14.8
13116,0.980,9.2
13106,0.789,18.4
13116,0.985,5.6
13116,0.985,9.6
13106,0.815,16.8
13116,0.981,5.5
13116,0.990,9.0
13106,0.794,12.5
13116,0.975,5.7
13116,0.986,7.4
13106,0.802,11.8
13116,0.982,6.4
13116,0.979,6.9
13106,0.798,17.2
13116,0.981,6.0
13116,0.977,6.0
13106,0.794,12.5
13116,0.990,6.7
13106,0.805,13.9
13116,0.981,7.8
13106,0.785,16.0
13106,0.805,15.1
13106,0.808,19.3
13106,0.795,19.1
13106,0.801,20.9
13106,0.811,15.9
13106,0.792,12.8
13106,0.786,18.3
13106,0.785,22.0
13106,0.812,17.8
13106,0.813,13.2
13106,0.795,20.7
13106,0.812,10.1
13106,0.819,17.0
13106,0.804,23.4
13106,0.809,17.1
13106,0.802,21.4
13106,0.794,15.5
13106,0.804,13.8
13106,0.821,13.6
13106,0.803,17.5
13106,0.812,15.0
13106,0.802,15.9
13106,0.797,19.8
13106,0.806,18.5
13106,0.808,18.0
13106,0.821,25.9
13106,0.807,14.1
13106,0.818,15.9
13106,0.804,16.1
13106,0.817,20.1
13106,0.835,16.5
13106,0.791,17.5
13106,0.814,17.2
13106,0.804,22.6
13106,0.798,17.0
13106,0.792,12.9
13106,0.811,19.9
13106,0.806,12.8
13106,0.803,13.0
13106,0.808,17.8
13106,0.796,17.5
13106,0.800,18.8
13106,0.810,17.4
13106,0.799,17.0
13106,0.817,16.9
13106,0.806,12.8
13106,0.805,20.9
