tid,seq_ratio,avg_stride
13691,0.715,14.9
13701,0.987,7.3
13701,0.989,7.9
13701,0.995,7.8
13691,0.728,19.0
13691,0.720,21.3
13701,0.953,11549.6
13691,0.711,20.6
13701,0.962,9.1
13691,0.731,24.0
13701,0.988,7.5
13691,0.718,27.2
13701,0.988,7.8
13691,0.729,17.5
13701,0.991,8.4
13701,0.992,8.1
13691,0.722,21.8
13691,0.715,23.3
13701,0.986,7.9
13691,0.741,24.1
13691,0.728,20.5
13701,0.984,8.4
13691,0.736,15.5
13701,0.963,10.7
13691,0.719,20.3
13701,0.989,8.5
13691,0.723,25.1
13701,0.986,9.5
13701,0.995,7.9
13701,0.990,7.9
13691,0.733,16.9
13691,0.735,20.2
13691,0.725,17.9
13701,0.979,9.8
13691,0.735,24.2
13691,0.721,18.3
13701,0.966,7.9
13691,0.720,17.9
13701,0.991,8.2
13691,0.732,23.1
13701,0.988,8.2
13701,0.995,7.9
13701,0.989,8.2
13691,0.738,14.2
13691,0.720,27.1
13701,0.985,7.6
13691,0.729,21.2
13691,0.729,17.1
13701,0.982,9.2
13691,0.742,20.2
13701,0.966,9.0
13691,0.715,19.2
13701,0.986,8.3
13691,0.726,21.6
13701,0.989,8.1
13701,0.991,7.8
13701,0.993,7.8
13691,0.727,19.8
13691,0.727,19.6
13691,0.727,24.0
13701,0.980,10.4
13691,0.710,19.2
13691,0.740,15.4
13701,0.972,8.4
13691,0.732,19.7
13701,0.979,10.2
13691,0.737,15.9
13701,0.989,7.0
13691,0.720,23.4
13701,0.988,6.2
13691,0.724,19.7
13701,0.976,6.0
13701,0.985,7.6
13701,0.985,8.5
13701,0.978,11.0
13691,0.721,18.9
13701,0.977,4.9
13691,0.714,19.7
13701,0.982,6.7
13691,0.724,17.9
13701,0.969,9.6
13691,0.739,16.4
13701,0.984,8.0
13691,0.706,20.2
13701,0.984,7.3
13691,0.719,15.5
13701,0.986,7.8
13701,0.993,7.3
13691,0.729,18.0
13691,0.713,18.0
13701,0.965,9.5
13691,0.725,23.1
13701,0.976,8.0
13691,0.714,21.8
13701,0.979,12.2
13691,0.729,27.6
13691,0.729,20.1
13701,0.982,9.1
13701,0.988,8.2
13701,0.995,7.7
13691,0.725,16.5
13691,0.715,22.1
13691,0.732,18.9
13701,0.982,8.0
13691,0.735,17.4
13691,0.727,20.2
13701,0.970,10.5
13691,0.718,17.5
13701,0.977,9.1
13691,0.731,19.7
13701,0.986,7.8
13701,0.985,9.1
13701,0.995,7.7
13691,0.715,16.3
13691,0.717,17.8
13701,0.980,12.7
13691,0.733,19.1
13691,0.710,16.9
13701,0.985,8.0
13691,0.738,21.2
13701,0.964,9.4
13691,0.739,25.1
13701,0.992,8.7
13691,0.717,31.7
13691,0.733,21.0
13701,0.981,8.5
13701,0.992,7.5
13701,0.993,7.9
13691,0.727,26.5
13691,0.728,16.6
13691,0.731,17.4
13701,0.980,8.2
13691,0.740,20.3
13691,0.724,18.2
13701,0.968,9.1
13691,0.741,21.1
13701,0.988,8.5
13691,0.724,26.7
13691,0.718,21.9
13701,0.984,8.1
13701,0.992,7.5
13701,0.994,8.3
13691,0.737,19.4
13691,0.735,24.9
13701,0.976,7.6
13691,0.731,20.8
13691,0.728,22.0
13701,0.975,11.4
13691,0.734,18.5
13701,0.978,9.8
13691,0.730,18.0
13691,0.734,18.6
13701,0.982,8.5
13701,0.985,7.5
13701,0.993,8.1
13701,0.992,8.0
13691,0.734,19.2
13691,0.730,20.0
13691,0.722,24.9
13701,0.976,13.0
13691,0.749,17.4
13691,0.724,21.8
13701,0.966,8.9
13691,0.732,16.3
13701,0.987,8.8
13691,0.735,17.1
13701,0.982,8.2
13701,0.990,8.0
13701,0.995,8.0
13691,0.738,14.4
13691,0.728,21.0
13691,0.727,19.8
13701,0.978,8.4
13691,0.728,19.7
13701,0.974,11.3
13691,0.728,22.6
13691,0.726,20.5
13701,0.982,8.3
13691,0.721,16.7
13701,0.988,8.1
13701,0.989,8.5
13701,0.992,7.9
13691,0.719,19.0
13691,0.731,26.3
13701,0.980,7.7
13691,0.709,18.9
13701,0.982,9.1
13691,0.733,23.3
13691,0.743,16.9
13701,0.967,10.8
13691,0.726,20.3
13701,0.988,8.4
13701,0.984,8.8
13701,0.994,8.3
13701,0.994,7.7
13691,0.723,17.1
13691,0.723,19.8
13691,0.736,22.8
13701,0.982,12.4
13691,0.746,19.6
13691,0.723,15.7
13701,0.956,10.6
13691,0.721,26.6
13701,0.987,8.4
13691,0.714,18.0
13701,0.984,8.0
13701,0.994,8.5
13701,0.992,7.6
13691,0.721,22.4
13691,0.729,19.7
13701,0.987,8.0
13691,0.722,23.9
13691,0.739,18.7
13701,0.980,8.2
13691,0.732,19.4
13691,0.740,25.7
13701,0.972,9.0
13691,0.734,24.2
13701,0.984,8.4
13701,0.990,8.0
13701,0.992,7.8
13701,0.994,8.1
13691,0.722,15.9
13691,0.706,26.4
13691,0.721,18.6
13691,0.728,17.2
13701,0.972,10.8
13691,0.727,15.4
13701,0.972,8.6
13691,0.714,17.1
13701,0.988,7.9
13691,0.728,21.5
13691,0.722,20.2
13701,0.984,8.7
13701,0.991,8.1
13701,0.995,8.1
13701,0.978,9.8
13691,0.731,22.5
13701,0.983,5.7
13691,0.728,19.6
13701,0.980,7.4
13691,0.732,12.0
13701,0.982,7.9
13701,0.988,7.9
13701,0.984,8.4
13691,0.726,16.5
13701,0.978,6.8
13701,0.981,6.7
13691,0.735,12.4
13701,0.990,9.0
13691,0.709,17.4
13691,0.719,22.7
13701,0.966,9.1
13691,0.722,17.7
13701,0.989,8.8
13701,0.973,10.4
13691,0.724,17.1
13701,0.982,8.9
13691,0.718,19.7
13701,0.966,8.1
13691,0.720,23.9
13701,0.990,8.6
13691,0.727,19.0
13691,0.731,23.9
13691,0.728,19.3
13701,0.982,8.2
13701,0.993,8.1
13701,0.993,8.2
13691,0.728,16.7
13691,0.737,17.6
13701,0.977,1060.6
13691,0.716,26.1
13701,0.972,7.7
13691,0.724,17.9
13701,0.982,8.5
13691,0.724,25.0
13691,0.723,18.6
13691,0.724,19.7
13691,0.710,17.7
13701,0.984,8.3
13701,0.993,7.7
13701,0.993,7.9
13691,0.708,17.6
13701,0.978,8.2
13691,0.718,14.0
13701,0.968,10.2
13691,0.734,25.4
13691,0.734,21.1
13701,0.992,8.7
13691,0.730,22.0
13691,0.714,18.0
13691,0.726,19.5
13701,0.985,8.0
13701,0.993,7.9
13701,0.993,8.5
13691,0.728,20.4
13701,0.979,9.1
13691,0.721,19.3
13691,0.725,18.8
13701,0.968,9.3
13691,0.714,21.9
13701,0.992,8.4
13691,0.712,17.6
13691,0.712,22.9
13701,0.976,9.1
13701,0.996,7.6
13701,0.993,8.0
13691,0.723,17.0
13691,0.730,15.3
13701,0.972,12.0
13691,0.722,30.3
13701,0.968,10.0
13691,0.739,20.1
13701,0.989,7.5
13691,0.724,19.4
13701,0.985,10.1
13701,0.994,8.4
13701,0.996,7.8
13691,0.725,17.8
13691,0.747,23.6
13691,0.716,25.7
13701,0.974,9.2
13691,0.718,14.7
13691,0.735,19.7
13701,0.979,8.3
13691,0.735,24.6
13701,0.973,12.0
13691,0.711,22.4
13701,0.987,10.1
13701,0.988,8.3
13701,0.992,7.7
13691,0.714,15.7
13691,0.730,19.3
13701,0.981,8.5
13691,0.722,18.0
13691,0.748,15.4
13701,0.989,9.5
13691,0.719,21.1
13701,0.964,9.2
13691,0.724,11.8
13701,0.986,10.7
13691,0.743,20.5
13701,0.985,9.5
13701,0.992,7.6
13701,0.994,8.0
13691,0.723,20.4
13691,0.709,13.5
13701,0.976,12.4
13691,0.723,21.4
13701,0.976,8.7
13691,0.727,19.1
13701,0.983,9.2
13691,0.738,19.5
13691,0.719,17.6
13701,0.991,8.0
13701,0.991,8.0
13701,0.992,8.1
13691,0.718,25.6
13691,0.722,18.7
13701,0.990,7.9
13691,0.739,16.9
13701,0.984,8.1
13691,0.720,20.5
13701,0.972,8.4
13691,0.725,25.4
13691,0.734,18.5
13701,0.989,8.8
13701,0.988,8.1
13701,0.995,7.9
13701,0.991,7.8
13691,0.724,18.2
13691,0.726,16.3
13691,0.713,22.6
13701,0.978,14.3
13691,0.721,18.8
13691,0.726,20.0
13701,0.976,9.6
13691,0.725,29.8
13701,0.982,9.4
13691,0.737,20.8
13701,0.986,8.6
13701,0.993,7.7
13701,0.993,8.3
13691,0.722,28.5
13691,0.726,24.9
13701,0.978,10.0
13691,0.732,17.3
13691,0.728,13.8
13701,0.981,10.6
13691,0.698,18.7
13701,0.978,7.6
13691,0.723,25.0
13701,0.983,8.8
13691,0.713,21.1
13701,0.993,8.3
13701,0.991,8.1
13701,0.993,7.9
13691,0.716,16.1
13691,0.712,25.7
13691,0.733,21.2
13701,0.974,8.7
13691,0.720,16.4
13701,0.973,8.7
13691,0.735,17.1
13701,0.985,8.4
13691,0.732,23.6
13701,0.985,6.9
13691,0.727,23.4
13701,0.987,5.7
13691,0.715,23.8
13701,0.988,4.8
13691,0.702,20.9
13701,0.973,9.1
13691,0.706,16.9
13701,0.967,5.3
13701,0.985,5.3
13701,0.990,8.9
13691,0.711,19.5
13701,0.973,19408.2
13701,0.987,8.8
13691,0.721,10.5
13691,0.725,14.9
13701,0.977,9.4
13691,0.704,26.4
13701,0.987,8.7
13701,0.978,9.2
13691,0.720,21.6
13691,0.736,16.7
13701,0.974,11.2
13691,0.725,19.8
13701,0.969,9.6
13691,0.715,15.9
13701,0.987,7.9
13691,0.708,19.1
13691,0.728,28.6
13701,0.982,7.6
13701,0.995,7.9
13701,0.992,8.1
13691,0.729,20.3
13691,0.718,25.7
13691,0.739,13.6
13701,0.977,11.4
13691,0.721,21.4
13701,0.976,8.7
13691,0.726,20.5
13701,0.985,9.0
13691,0.733,26.7
13701,0.983,8.8
13701,0.990,8.2
13701,0.995,8.0
13691,0.728,21.3
13691,0.716,20.5
13691,0.719,16.8
13701,0.985,8.1
13691,0.731,25.3
13701,0.980,9.4
13691,0.734,22.0
13691,0.740,26.5
13701,0.984,8.1
13691,0.701,24.3
13691,0.721,19.9
13701,0.979,10.4
13701,0.993,8.0
13701,0.993,7.8
13691,0.731,19.7
13701,0.987,7.9
13691,0.728,23.8
13691,0.743,22.7
13701,0.980,9.4
13691,0.739,26.7
13701,0.973,8.7
13691,0.727,21.7
13691,0.730,18.6
13691,0.720,21.1
13701,0.983,8.5
13701,0.991,7.9
13701,0.994,7.7
13701,0.991,7.8
13691,0.726,18.3
13691,0.733,17.1
13691,0.730,22.1
13701,0.970,13.0
13691,0.733,17.9
13701,0.973,10.6
13691,0.736,21.7
13701,0.982,9.2
13691,0.715,19.9
13701,0.982,8.6
13701,0.995,7.7
13701,0.992,7.6
13691,0.715,18.8
13691,0.730,20.2
13701,0.982,8.5
13691,0.736,18.9
13691,0.737,15.8
13701,0.979,8.6
13691,0.714,20.4
13701,0.975,9.5
13691,0.724,20.0
13691,0.708,24.1
13701,0.979,10.0
13691,0.708,23.2
